model,resample_no,rmse
xgb,1,0.4978191754103777
xgb,2,0.47468701255288737
xgb,3,0.48271660089716734
xgb,4,0.48194965537740825
xgb,5,0.47541663395892275
xgb,6,0.49522629993658474
xgb,7,0.5024630479896325
xgb,8,0.4833456793042822
xgb,9,0.4865676331851899
xgb,10,0.4985861209301367
xgb,11,0.48989013006501825
xgb,12,0.49449667853054935
xgb,13,0.4945972215294699
xgb,14,0.4826160578982468
xgb,15,0.4959932454563439
xgb,16,0.48271660089716734
xgb,17,0.48666817618411046
xgb,18,0.49449667853054935
xgb,19,0.49917787522352786
xgb,20,0.49526362405030844
xgb,21,0.47073543726594425
xgb,22,0.49134937287708896
xgb,23,0.48666817618411046
xgb,24,0.49058242735732993
xgb,25,0.48802687599726075
xgb,26,0.48271660089716734
xgb,27,0.4993157423361721
xgb,28,0.49927841822244845
xgb,29,0.48739779759014584
xgb,30,0.4946345456431936
xgb,31,0.49058242735732993
xgb,32,0.4872972545912253
xgb,33,0.4938676001234345
xgb,34,0.485938554778075
xgb,35,0.4812573580850965
xgb,36,0.466783861979001
xgb,37,0.4786644826113037
xgb,38,0.49917787522352797
xgb,39,0.49061975147105363
xgb,40,0.4812573580850965
xgb,41,0.49931574233617215
xgb,42,0.4812573580850965
xgb,43,0.4945972215294699
xgb,44,0.49121150576444483
xgb,45,0.4872599304775016
xgb,46,0.48006050653817756
xgb,47,0.5038217478027828
xgb,48,0.49917787522352797
xgb,49,0.4946345456431936
xgb,50,0.5064146232765757
xgb,51,0.5025003721033562
xgb,52,0.48666817618411046
xgb,53,0.4919411271704802
xgb,54,0.47146505867197963
xgb,55,0.4865676331851899
xgb,56,0.47073543726594425
xgb,57,0.49313797871739906
xgb,58,0.48849410613814426
xgb,59,0.49054510324360623
xgb,60,0.48666817618411046
xgb,61,0.47468701255288737
xgb,62,0.49917787522352786
xgb,63,0.498548796816413
xgb,64,0.4786644826113037
xgb,65,0.5017334265835971
xgb,66,0.48985280595129455
xgb,67,0.5056850018705402
xgb,68,0.48663085207038675
xgb,69,0.5110584958558305
xgb,70,0.49058242735732993
xgb,71,0.5031926693956679
xgb,72,0.506377299162852
xgb,73,0.49917787522352786
xgb,74,0.49917787522352797
xgb,75,0.49914055110980415
xgb,76,0.4780354042041887
xgb,77,0.4780354042041887
xgb,78,0.48663085207038675
xgb,79,0.4872972545912253
xgb,80,0.48989013006501825
xgb,81,0.4872972545912254
xgb,82,0.4794314281310627
xgb,83,0.48520893337203974
xgb,84,0.4786644826113037
xgb,85,0.49526362405030844
xgb,86,0.5038217478027828
xgb,87,0.47933088513214217
xgb,88,0.4938676001234345
xgb,89,0.498548796816413
xgb,90,0.5031926693956679
xgb,91,0.48922372754417964
xgb,92,0.4919411271704801
xgb,93,0.48849410613814426
xgb,94,0.49522629993658474
xgb,95,0.48985280595129443
xgb,96,0.5024630479896325
xgb,97,0.4833456793042822
xgb,98,0.5017707506973208
xgb,99,0.4841126248240413
xgb,100,0.47073543726594413
xgb,101,0.49927841822244845
xgb,102,0.4945972215294699
xgb,103,0.49449667853054935
xgb,104,0.4826160578982468
xgb,105,0.47073543726594425
xgb,106,0.49061975147105363
xgb,107,0.49526362405030844
xgb,108,0.49449667853054935
xgb,109,0.48527215225723647
xgb,110,0.48985280595129455
xgb,111,0.4740206100320489
xgb,112,0.5025003721033562
xgb,113,0.4794314281310627
xgb,114,0.497126878118066
xgb,115,0.4859385547780751
xgb,116,0.5024630479896325
xgb,117,0.5031926693956679
